Body Angle,Head Angle,Distance,Signal Strength
128,80,0,3288
129,80,0,3282
130,80,0,3288
131,80,0,3283
132,80,0,3283
133,80,0,3282
134,80,0,3279
135,80,0,3283
136,80,0,3288
137,80,0,3290
138,80,0,3279
139,80,0,3287
140,80,0,3285
141,80,0,3300
142,80,0,3284
143,80,0,3296
144,80,0,3287
145,80,0,3283
146,80,0,3288
147,80,0,3280
148,80,0,3285
149,80,0,3283
150,80,0,3283
151,80,0,3284
152,80,0,3282
153,80,0,3274
154,80,0,3276
155,80,0,3279
156,80,0,3274
157,80,0,3280
158,80,0,3275
159,80,0,3292
160,80,0,3281
161,80,0,3278
162,80,0,3286
163,80,0,3291
164,80,0,3290
165,80,0,3290
166,80,0,3289
167,80,0,3284
168,80,0,3295
169,80,0,3290
170,80,0,3279
171,80,0,3284
